directions,hidden,id,lat,lon,name,showDestinationSelector,route
"['53_0_var0', '53_0_var2']",False,BSTP34331,45.2747499,-66.05726,Golden Ball - Sydney Street,True,53
"['53_0_var0', '53_0_var2']",False,BSTP34333,45.27562,-66.0553499,300 Union Street,True,53
"['53_0_var0', '53_0_var2']",False,BSTP34335,45.27608,-66.0526199,Union St & Pitt St.,True,53
"['53_0_var1', '53_0_var3']",False,BSTP34696,45.28169,-66.0518,Hotel Courtney Bay,True,53
"['53_0_var1', '53_0_var3']",False,BSTP34698,45.2803999,-66.0518299,Crown Street,True,53
"['53_0_var1', '53_0_var3']",False,BSTP34693,45.2787399,-66.0518899,Boys & Girls Club - Crown St.,True,53
"['53_0_var1', '53_0_var3']",False,BSTP34337,45.2765199,-66.05125,Prince Charles School - Union St.,True,53
"['53_0_var1', '53_0_var3']",False,BSTP34334,45.2760399,-66.05399,Giant Tiger - Prince Edward Square,True,53
['53_0_var3'],False,BSTP34431_ar,45.2741999,-66.05849,King's Square North,True,53
"['1A_0_var3', '1A_0_var1', '1A_0_var2', '1A_0_var0']",False,BSTP34391,45.3058299,-66.01729,McAllister Place,True,1A
"['1A_0_var3', '1A_0_var1', '1A_0_var2', '1A_0_var0']",False,BSTP34388,45.30518,-66.01873,Consumers Dr. (across from Shoppers Drug Mart),True,1A
"['1A_0_var3', '1A_0_var1', '1A_0_var2', '1A_0_var0']",False,BSTP34382,45.3040999,-66.021,400 Westmorland Road,True,1A
"['1A_0_var3', '1A_0_var1', '1A_0_var2', '1A_0_var0']",False,BSTP34381,45.30253,-66.0228499,Depot Crt. & Westmorland Rd.,True,1A
"['1A_0_var3', '1A_0_var1', '1A_0_var2', '1A_0_var0']",False,BSTP34378,45.3017099,-66.0238599,Retail & Westmorland,True,1A
"['1A_0_var3', '1A_0_var1', '1A_0_var2', '1A_0_var0']",False,BSTP35269,45.3025,-66.02528,Retail Drive (across from East Point Shopping Centre ),True,1A
"['1A_0_var3', '1A_0_var1', '1A_0_var2', '1A_0_var0']",False,BSTP35417,45.30304,-66.0284599,East Point Shopping Center,True,1A
"['1A_0_var3', '1A_0_var1', '1A_0_var2', '1A_0_var0']",False,BSTP35270,45.30444,-66.02639,Retail Drive (across from Costco),True,1A
"['1A_0_var3', '1A_0_var1', '1A_0_var2', '1A_0_var0']",False,BSTP35271,45.30722,-66.02833,Retail Dr. & Gull St.,True,1A
"['1A_0_var3', '1A_0_var1', '1A_0_var2', '1A_0_var0']",False,BSTP34523,45.3069899,-66.03179,Rothesay Avenue,True,1A
"['1A_0_var3', '1A_0_var1', '1A_0_var0']",False,BSTP34525,45.3050299,-66.03336,428 Rothesay Avenue,True,1A
"['1A_0_var3', '1A_0_var1', '1A_0_var2', '1A_0_var0']",False,BSTP34405,45.30439,-66.0338899,411 Rothesay Avenue,True,1A
"['1A_0_var3', '1A_0_var1', '1A_0_var2', '1A_0_var0']",False,BSTP34528,45.30328,-66.0347899,401 Rothesay Avenue,True,1A
"['1A_0_var3', '1A_0_var1', '1A_0_var2', '1A_0_var0']",False,BSTP34530,45.30033,-66.0371899,347 Rothesay Avenue,True,1A
"['1A_0_var3', '1A_0_var1', '1A_0_var2', '1A_0_var0']",False,BSTP34532,45.2976199,-66.0393499,327 Rothesay Avenue,True,1A
"['1A_0_var3', '1A_0_var1', '1A_0_var2', '1A_0_var0']",False,BSTP34535,45.2956999,-66.04096,305 Rothesay Avenue,True,1A
